name,variant,category,x,y
Alegreya Sans 100,100,sans-serif,-8.080346,16.65388
Alegreya Sans 100italic,100italic,sans-serif,-9.005389,13.905946
Alegreya Sans 300,300,sans-serif,-10.080461,16.483112
Alegreya Sans 300italic,300italic,sans-serif,-9.574315,12.940515
Alegreya Sans regular,regular,sans-serif,-13.1692095,15.290503
Alegreya Sans italic,italic,sans-serif,-10.86042,8.164418
Alegreya Sans 500,500,sans-serif,-13.656183,12.884031
Alegreya Sans 500italic,500italic,sans-serif,-11.634875,7.8099494
Alegreya Sans 700,700,sans-serif,-14.69732,10.427333
Alegreya Sans 700italic,700italic,sans-serif,-12.191744,7.355645
Alegreya Sans 800,800,sans-serif,-15.142584,9.783274
Alegreya Sans 800italic,800italic,sans-serif,-12.767579,6.9626403
Alegreya Sans 900,900,sans-serif,-15.868487,9.4404545
Alegreya Sans 900italic,900italic,sans-serif,-13.350684,6.7720923
Patua One regular,regular,display,-4.2931414,8.770161
Source Serif Pro regular,regular,serif,-4.9050384,12.554134
Source Serif Pro 600,600,serif,-4.667554,10.380536
Source Serif Pro 700,700,serif,-4.6943326,9.936674
Architects Daughter regular,regular,handwriting,-10.29574,13.845146
Istok Web regular,regular,sans-serif,-12.231704,14.58943
Istok Web italic,italic,sans-serif,-10.997033,9.582681
Istok Web 700,700,sans-serif,-14.316424,11.951469
Istok Web 700italic,700italic,sans-serif,-11.185211,9.498886
Cinzel regular,regular,serif,-6.1276402,13.063709
Cinzel 700,700,serif,-5.9245915,11.535749
Cinzel 900,900,serif,-5.970273,10.470866
BenchNine 300,300,sans-serif,-12.065773,12.523128
BenchNine regular,regular,sans-serif,-13.153247,11.844641
BenchNine 700,700,sans-serif,-13.726407,10.626115
Comfortaa 300,300,display,-9.800243,15.1170025
Comfortaa regular,regular,display,-10.3748455,14.476979
Comfortaa 700,700,display,-11.246294,13.825671
Satisfy regular,regular,handwriting,-9.291913,9.726906
Josefin Slab 100,100,serif,-6.542754,15.510702
