name,variant,category,x,y
Fira Sans 100,100,sans-serif,-9.896089,10.148292
Fira Sans 100italic,100italic,sans-serif,-8.589479,12.436204
Fira Sans 200,200,sans-serif,-7.239149,9.447724
Fira Sans 200italic,200italic,sans-serif,-7.356263,13.076241
Fira Sans 300,300,sans-serif,-6.647452,9.599145
Fira Sans 300italic,300italic,sans-serif,-6.754369,13.42416
Fira Sans regular,regular,sans-serif,-3.116955,10.565744
Fira Sans italic,italic,sans-serif,-5.2769446,14.74418
Fira Sans 500,500,sans-serif,-0.08180334,9.475028
Fira Sans 500italic,500italic,sans-serif,-3.9288654,16.299788
Fira Sans 600,600,sans-serif,0.29348972,9.073995
Fira Sans 600italic,600italic,sans-serif,-3.504443,16.669203
Fira Sans 700,700,sans-serif,0.64235175,8.953789
Fira Sans 700italic,700italic,sans-serif,-3.2587464,16.941195
Fira Sans 800,800,sans-serif,1.3568265,8.901635
Fira Sans 800italic,800italic,sans-serif,-2.8326502,17.22861
Fira Sans 900,900,sans-serif,1.6369885,8.795772
Fira Sans 900italic,900italic,sans-serif,-2.862172,17.257355
Abril Fatface regular,regular,display,-1.2033778,-0.20452604
Exo 2 100,100,sans-serif,-9.576083,9.890145
Exo 2 100italic,100italic,sans-serif,-8.399073,12.047773
Exo 2 200,200,sans-serif,-7.746034,9.880137
Exo 2 200italic,200italic,sans-serif,-7.9123616,12.72853
Exo 2 300,300,sans-serif,-5.5128098,10.421326
Exo 2 300italic,300italic,sans-serif,-6.9363017,13.789309
Exo 2 regular,regular,sans-serif,-3.8421214,11.172494
Exo 2 italic,italic,sans-serif,-6.2827277,14.292536
Exo 2 500,500,sans-serif,-2.7461147,11.103122
Exo 2 500italic,500italic,sans-serif,-5.828186,14.885654
Exo 2 600,600,sans-serif,-1.2968396,11.120141
Exo 2 600italic,600italic,sans-serif,-4.915497,15.939259
Exo 2 700,700,sans-serif,-0.27831563,10.534382
Exo 2 700italic,700italic,sans-serif,-4.5707855,16.81419
Exo 2 800,800,sans-serif,1.0975083,10.245126
Exo 2 800italic,800italic,sans-serif,-4.4733086,17.32841
Exo 2 900,900,sans-serif,1.8229204,10.147989
Exo 2 900italic,900italic,sans-serif,-4.1944633,17.676195
Asap regular,regular,sans-serif,-3.8864162,10.152222
Asap italic,italic,sans-serif,-5.4748397,14.510965
Asap 500,500,sans-serif,-1.7153579,9.230535
Asap 500italic,500italic,sans-serif,-2.4176896,9.026562
Asap 700,700,sans-serif,-1.413436,8.976089
Asap 700italic,700italic,sans-serif,-2.1181562,8.437841
Varela Round regular,regular,sans-serif,-5.0242276,9.509896
Abel regular,regular,sans-serif,-4.494233,10.265329
Quicksand 300,300,sans-serif,-7.958333,11.157288
Quicksand regular,regular,sans-serif,-7.2751274,11.210414
Quicksand 500,500,sans-serif,-4.887009,9.086957
Quicksand 700,700,sans-serif,-3.6973925,8.401644
Gloria Hallelujah regular,regular,handwriting,-5.3962326,7.657307
Pacifico regular,regular,handwriting,-5.422684,4.968577
Rubik 300,300,sans-serif,-6.6435947,11.100645
Rubik 300italic,300italic,sans-serif,-7.3622975,13.734112
Rubik regular,regular,sans-serif,-4.571834,12.735129
Rubik italic,italic,sans-serif,-6.7962976,14.575481
Rubik 500,500,sans-serif,-0.930516,11.898495
Rubik 500italic,500italic,sans-serif,-6.596149,16.518978
Rubik 700,700,sans-serif,0.4513248,10.97385
Rubik 700italic,700italic,sans-serif,-6.124489,17.51971
Rubik 900,900,sans-serif,2.03185,10.730379
Rubik 900italic,900italic,sans-serif,-5.8231792,18.202528
Karla regular,regular,sans-serif,-4.52489,11.255931
Karla italic,italic,sans-serif,-5.571613,12.972647
Karla 700,700,sans-serif,-1.269825,12.330817
Karla 700italic,700italic,sans-serif,-4.0851464,15.393224
Ubuntu Condensed regular,regular,sans-serif,-0.81744367,8.156444
Work Sans 100,100,sans-serif,-9.97877,10.271531
Work Sans 200,200,sans-serif,-9.633855,9.960051
Work Sans 300,300,sans-serif,-7.245722,9.943923
Work Sans regular,regular,sans-serif,-4.8611164,11.009532
Work Sans 500,500,sans-serif,-2.4745526,11.932318
Work Sans 600,600,sans-serif,-0.09777647,12.255286
Work Sans 700,700,sans-serif,1.0655823,11.612074
Work Sans 800,800,sans-serif,1.8682728,11.175785
Work Sans 900,900,sans-serif,2.3810954,10.717387
Cuprum regular,regular,sans-serif,-1.3815417,8.890618
Cuprum italic,italic,sans-serif,-3.3278816,15.392603
Cuprum 700,700,sans-serif,-0.500498,9.274997
Cuprum 700italic,700italic,sans-serif,-3.1063857,15.936994
Signika 300,300,sans-serif,-4.4161763,11.857103
Signika regular,regular,sans-serif,-1.8617231,10.644058
Signika 600,600,sans-serif,-1.4364415,9.95176
Signika 700,700,sans-serif,-1.2573401,9.947679
Archivo Narrow regular,regular,sans-serif,-2.1686487,9.116395
Archivo Narrow italic,italic,sans-serif,-3.8069956,15.216456
Archivo Narrow 700,700,sans-serif,-0.33323097,8.841733
Archivo Narrow 700italic,700italic,sans-serif,-3.3217804,16.187227
Play regular,regular,sans-serif,-3.0124936,12.165809
Play 700,700,sans-serif,0.010680656,10.795706
Questrial regular,regular,sans-serif,-6.0804915,11.63288
Shadows Into Light regular,regular,handwriting,-4.9138327,7.805097
Dancing Script regular,regular,handwriting,-6.4412074,5.2763963
Dancing Script 700,700,handwriting,-5.864325,4.923007
PT Sans Caption regular,regular,sans-serif,-3.5952652,12.603983
PT Sans Caption 700,700,sans-serif,-0.07081101,11.9508705
Alegreya regular,regular,serif,1.1936995,0.75805545
Alegreya italic,italic,serif,-3.5631592,3.1107066
Alegreya 700,700,serif,-1.9579045,0.983195
Alegreya 700italic,700italic,serif,-2.7773833,4.000668
Alegreya 900,900,serif,-2.2893865,1.566046
Alegreya 900italic,900italic,serif,-2.2366138,4.684975
Francois One regular,regular,sans-serif,-0.18179849,8.36911
Exo 100,100,sans-serif,-9.252795,10.190985
Exo 100italic,100italic,sans-serif,-8.357285,12.158964
Exo 200,200,sans-serif,-7.738011,9.683932
Exo 200italic,200italic,sans-serif,-7.6780906,13.038149
Exo 300,300,sans-serif,-6.2065926,9.928147
Exo 300italic,300italic,sans-serif,-6.7621922,13.707608
Exo regular,regular,sans-serif,-3.952122,10.926556
Exo italic,italic,sans-serif,-6.1427436,14.544301
Exo 500,500,sans-serif,-2.9120603,10.86154
Exo 500italic,500italic,sans-serif,-5.314841,15.350128
Exo 600,600,sans-serif,-0.9884039,10.250002
Exo 600italic,600italic,sans-serif,-4.530751,16.03608
Exo 700,700,sans-serif,-0.19717944,9.899019
Exo 700italic,700italic,sans-serif,-4.1277747,16.383617
Exo 800,800,sans-serif,0.6707601,9.48557
Exo 800italic,800italic,sans-serif,-3.9672453,16.778875
Exo 900,900,sans-serif,1.6919904,9.5559435
Exo 900italic,900italic,sans-serif,-3.3792465,17.347723
Acme regular,regular,sans-serif,-0.5555927,8.571614
EB Garamond regular,regular,serif,2.2465613,-1.3548782
Vollkorn regular,regular,serif,1.0139178,1.1530507
Vollkorn italic,italic,serif,-3.2451808,3.598836
Vollkorn 700,700,serif,-0.7985155,3.3875515
Vollkorn 700italic,700italic,serif,-2.2765508,4.728885
Source Code Pro 200,200,monospace,-9.417457,12.486309
Source Code Pro 300,300,monospace,-9.557194,13.203835
Source Code Pro regular,regular,monospace,-9.710571,14.310801
Source Code Pro 500,500,monospace,-9.674921,14.989875
Source Code Pro 600,600,monospace,-9.647069,15.374648
Source Code Pro 700,700,monospace,-9.304234,15.826367
Source Code Pro 900,900,monospace,-9.3099375,15.935437
Maven Pro regular,regular,sans-serif,-5.1984773,11.918684
Maven Pro 500,500,sans-serif,-1.7835894,12.353396
Maven Pro 700,700,sans-serif,0.6281609,11.713785
Maven Pro 900,900,sans-serif,1.1734796,11.265233
Pathway Gothic One regular,regular,sans-serif,-2.364406,7.9863925
Amatic SC regular,regular,handwriting,-4.057096,8.664874
Amatic SC 700,700,handwriting,-3.6589148,8.708711
Archivo Black regular,regular,sans-serif,0.45191783,10.113038
Rokkitt 100,100,serif,4.368061,2.0465302
Rokkitt 200,200,serif,3.769424,2.518821
Rokkitt 300,300,serif,2.9604619,2.7894046
Rokkitt regular,regular,serif,1.6960412,2.754488
Rokkitt 500,500,serif,0.5371259,2.7972262
Rokkitt 600,600,serif,0.64542454,3.2940814
Rokkitt 700,700,serif,-0.5333012,3.0395339
Rokkitt 800,800,serif,-1.2079346,2.9592004
Rokkitt 900,900,serif,-1.0435768,3.3255007
Crete Round regular,regular,serif,-0.85574484,1.5696915
Crete Round italic,italic,serif,-2.633156,4.6897674
Libre Franklin 100,100,sans-serif,-8.181671,10.046227
Libre Franklin 100italic,100italic,sans-serif,-7.923593,12.56167
Libre Franklin 200,200,sans-serif,-7.392606,10.12724
Libre Franklin 200italic,200italic,sans-serif,-7.6465163,13.0483265
Libre Franklin 300,300,sans-serif,-6.2156534,10.433536
Libre Franklin 300italic,300italic,sans-serif,-7.234085,13.533542
Libre Franklin regular,regular,sans-serif,-4.565947,11.438881
Libre Franklin italic,italic,sans-serif,-6.494717,14.231016
Libre Franklin 500,500,sans-serif,-3.0658092,11.755859
Libre Franklin 500italic,500italic,sans-serif,-6.4694624,15.386031
Libre Franklin 600,600,sans-serif,-1.211357,11.628476
Libre Franklin 600italic,600italic,sans-serif,-6.0758348,16.267378
Libre Franklin 700,700,sans-serif,-0.43495578,11.401791
Libre Franklin 700italic,700italic,sans-serif,-5.7362914,16.83602
Libre Franklin 800,800,sans-serif,0.080196634,11.110853
Libre Franklin 800italic,800italic,sans-serif,-5.8929605,17.233953
Libre Franklin 900,900,sans-serif,0.8353482,11.003857
Libre Franklin 900italic,900italic,sans-serif,-5.650243,17.603363
Ropa Sans regular,regular,sans-serif,-2.016886,9.55649
Ropa Sans italic,italic,sans-serif,-4.3783116,15.194018
Alegreya Sans 100,100,sans-serif,-9.636041,10.137625
Alegreya Sans 100italic,100italic,sans-serif,-7.7235208,12.740775
Alegreya Sans 300,300,sans-serif,-7.0743713,9.021852
Alegreya Sans 300italic,300italic,sans-serif,-7.063031,12.379068
Alegreya Sans regular,regular,sans-serif,-3.609691,10.542805
Alegreya Sans italic,italic,sans-serif,-4.5811796,14.747489
Alegreya Sans 500,500,sans-serif,-2.3540654,10.04417
Alegreya Sans 500italic,500italic,sans-serif,-4.1361904,15.720097
Alegreya Sans 700,700,sans-serif,-1.0554209,9.157247
Alegreya Sans 700italic,700italic,sans-serif,-3.9674187,16.651964
Alegreya Sans 800,800,sans-serif,0.12673917,8.999624
Alegreya Sans 800italic,800italic,sans-serif,-3.9394503,17.046116
Alegreya Sans 900,900,sans-serif,1.0910215,9.342139
Alegreya Sans 900italic,900italic,sans-serif,-3.44733,17.451353
Patua One regular,regular,display,-2.0472348,1.6674615
Source Serif Pro regular,regular,serif,1.5955842,1.0541682
Source Serif Pro 600,600,serif,-0.021395626,1.1814361
Source Serif Pro 700,700,serif,-0.53431565,1.3181059
Architects Daughter regular,regular,handwriting,-5.70417,8.687213
Istok Web regular,regular,sans-serif,-4.312853,12.530468
Istok Web italic,italic,sans-serif,-6.310602,14.698761
Istok Web 700,700,sans-serif,-0.9198738,11.407083
Istok Web 700italic,700italic,sans-serif,-6.4220643,14.417646
Cinzel regular,regular,serif,2.9242692,4.8999386
Cinzel 700,700,serif,2.4821658,5.386107
Cinzel 900,900,serif,1.9689226,5.3135114
BenchNine 300,300,sans-serif,-3.8867168,8.360872
