name,variant,category,x,y,cluster
Exo 2 900italic,900italic,sans-serif,3.8812373,9.353139,2
Asap regular,regular,sans-serif,-2.6418073,9.420874,0
Asap italic,italic,sans-serif,2.5172384,9.30976,2
Asap 500,500,sans-serif,-2.7848148,8.089017,1
Asap 500italic,500italic,sans-serif,0.2822952,8.058628,2
Asap 700,700,sans-serif,-2.7941337,7.9976497,1
Asap 700italic,700italic,sans-serif,0.2000181,8.001854,2
Varela Round regular,regular,sans-serif,-0.94804543,8.947369,0
Abel regular,regular,sans-serif,-2.3522606,9.932476,0
Quicksand 300,300,sans-serif,-0.89807445,10.831103,0
Quicksand regular,regular,sans-serif,-1.146421,10.564664,0
Quicksand 500,500,sans-serif,-0.94690603,8.887398,0
Quicksand 700,700,sans-serif,-0.9803805,8.383922,1
Gloria Hallelujah regular,regular,handwriting,-0.32388085,8.43428,4
Pacifico regular,regular,handwriting,0.4694515,6.4595337,4
Rubik 300,300,sans-serif,-1.4800714,10.691286,0
Rubik 300italic,300italic,sans-serif,1.4586763,9.570347,0
Rubik regular,regular,sans-serif,-3.6105773,10.653646,0
Rubik italic,italic,sans-serif,2.1372342,9.114843,2
Rubik 500,500,sans-serif,-4.7702627,8.213247,1
Rubik 500italic,500italic,sans-serif,3.0749233,8.515786,2
Rubik 700,700,sans-serif,-4.6490564,6.7438226,1
Rubik 700italic,700italic,sans-serif,3.4030464,8.37546,2
Rubik 900,900,sans-serif,-5.061118,6.580476,1
Rubik 900italic,900italic,sans-serif,3.6040509,8.259343,2
Karla regular,regular,sans-serif,-2.8763719,10.172668,0
Karla italic,italic,sans-serif,-1.3487881,9.673032,0
Karla 700,700,sans-serif,-3.8209984,8.7348585,1
Karla 700italic,700italic,sans-serif,3.234928,9.625049,1
Ubuntu Condensed regular,regular,sans-serif,-2.7077596,7.3269396,1
Work Sans 100,100,sans-serif,-0.3102642,11.953785,0
Work Sans 200,200,sans-serif,-0.43965518,11.891506,0
Work Sans 300,300,sans-serif,-1.3577942,11.04202,0
Work Sans regular,regular,sans-serif,-2.7960708,10.18601,0
Work Sans 500,500,sans-serif,-3.5082517,9.238726,0
Work Sans 600,600,sans-serif,-4.8579063,7.8775945,1
Work Sans 700,700,sans-serif,-4.7754717,7.377314,1
Work Sans 800,800,sans-serif,-4.9582973,6.947792,1
Work Sans 900,900,sans-serif,-5.0543427,6.6210895,1
Cuprum regular,regular,sans-serif,-2.7227376,7.5256166,1
Cuprum italic,italic,sans-serif,3.7260115,10.083972,2
Cuprum 700,700,sans-serif,-3.1755028,7.314154,1
Cuprum 700italic,700italic,sans-serif,3.8468068,10.035058,2
Signika 300,300,sans-serif,-3.5777183,10.551964,0
Signika regular,regular,sans-serif,-4.0610304,8.448936,1
Signika 600,600,sans-serif,-3.9564464,8.262052,1
Signika 700,700,sans-serif,-4.025886,8.174576,1
Archivo Narrow regular,regular,sans-serif,-2.5177095,7.6976037,1
Archivo Narrow italic,italic,sans-serif,3.3078659,9.934067,2
Archivo Narrow 700,700,sans-serif,-2.9066553,7.127762,1
Archivo Narrow 700italic,700italic,sans-serif,3.8590212,9.922645,2
Play regular,regular,sans-serif,-3.9669461,9.732365,0
Play 700,700,sans-serif,-4.6038766,6.542535,1
Questrial regular,regular,sans-serif,-2.4583268,10.691768,0
Shadows Into Light regular,regular,handwriting,-0.2119627,8.191095,4
Dancing Script regular,regular,handwriting,0.7194516,6.4836373,4
Dancing Script 700,700,handwriting,0.589667,6.5018916,4
PT Sans Caption regular,regular,sans-serif,-3.853888,10.312303,0
PT Sans Caption 700,700,sans-serif,-4.558394,7.934021,1
Alegreya regular,regular,serif,-3.0761704,-0.40218967,3
Alegreya italic,italic,serif,0.18669195,3.81431,2
Alegreya 700,700,serif,-4.708465,0.31134084,3
Alegreya 700italic,700italic,serif,-0.019935863,4.1186757,2
Alegreya 900,900,serif,-4.6507845,0.3992357,3
Alegreya 900italic,900italic,serif,-0.10298128,4.2821856,2
Francois One regular,regular,sans-serif,-2.958421,7.0913997,1
Exo 100,100,sans-serif,-0.47082058,11.831473,0
Exo 100italic,100italic,sans-serif,1.2040961,10.400308,0
Exo 200,200,sans-serif,-1.1445272,11.444156,0
Exo 200italic,200italic,sans-serif,1.433632,9.994664,0
Exo 300,300,sans-serif,-1.7210591,10.79632,0
Exo 300italic,300italic,sans-serif,1.7016075,9.723764,0
Exo regular,regular,sans-serif,-3.2160332,9.835166,0
Exo italic,italic,sans-serif,2.2268836,9.364475,2
Exo 500,500,sans-serif,-3.5110857,9.45696,1
Exo 500italic,500italic,sans-serif,2.7561617,9.347011,2
Exo 600,600,sans-serif,-3.8492966,7.6665287,1
Exo 600italic,600italic,sans-serif,3.4455485,9.521019,2
Exo 700,700,sans-serif,-3.8058362,7.546998,1
Exo 700italic,700italic,sans-serif,3.5572908,9.449902,2
Exo 800,800,sans-serif,-3.8732634,7.298404,1
Exo 800italic,800italic,sans-serif,3.7202818,9.517226,2
Exo 900,900,sans-serif,-4.1051445,6.9351635,1
Exo 900italic,900italic,sans-serif,4.092083,9.679212,2
Acme regular,regular,sans-serif,-3.0639153,7.6736946,1
EB Garamond regular,regular,serif,-2.6780527,-1.6304777,3
Vollkorn regular,regular,serif,-3.1159513,-0.34274372,3
Vollkorn italic,italic,serif,0.031985477,3.8881414,2
Vollkorn 700,700,serif,-3.878546,1.018496,3
Vollkorn 700italic,700italic,serif,-0.7193015,3.9819405,2
Source Code Pro 200,200,monospace,5.6151924,8.022575,0
Source Code Pro 300,300,monospace,5.685937,7.960414,0
Source Code Pro regular,regular,monospace,5.873142,7.8916245,0
Source Code Pro 500,500,monospace,6.076486,7.9865375,1
Source Code Pro 600,600,monospace,6.1616645,8.03628,1
Source Code Pro 700,700,monospace,6.2661433,8.12183,1
Source Code Pro 900,900,monospace,6.29498,8.134357,1
Maven Pro regular,regular,sans-serif,-3.0890076,10.604627,0
Maven Pro 500,500,sans-serif,-4.5163174,8.7051325,1
Maven Pro 700,700,sans-serif,-4.6668873,7.6642995,1
Maven Pro 900,900,sans-serif,-4.6600895,7.3229585,1
Pathway Gothic One regular,regular,sans-serif,-2.0924432,7.1606946,1
Amatic SC regular,regular,handwriting,-1.7092824,7.484602,4
Amatic SC 700,700,handwriting,-1.786859,7.415024,4
Archivo Black regular,regular,sans-serif,-4.6493044,6.456212,1
Rokkitt 100,100,serif,-1.4488925,-0.63847595,0
Rokkitt 200,200,serif,-1.5674202,-0.36826715,0
Rokkitt 300,300,serif,-1.7834947,-0.10747572,0
Rokkitt regular,regular,serif,-2.5959256,0.34555545,3
Rokkitt 500,500,serif,-3.183899,0.634429,3
Rokkitt 600,600,serif,-3.1561477,0.80752313,3
Rokkitt 700,700,serif,-3.8143263,0.9809352,3
Rokkitt 800,800,serif,-4.081357,1.0693921,3
Rokkitt 900,900,serif,-3.9980679,1.129979,3
Crete Round regular,regular,serif,-4.171368,0.33283162,3
Crete Round italic,italic,serif,-0.17116034,4.027212,2
Libre Franklin 100,100,sans-serif,-1.034055,11.356748,0
Libre Franklin 100italic,100italic,sans-serif,1.2667649,10.066176,0
Libre Franklin 200,200,sans-serif,-1.3444661,11.112004,0
Libre Franklin 200italic,200italic,sans-serif,1.2893033,9.794547,0
Libre Franklin 300,300,sans-serif,-1.6804479,10.86612,0
Libre Franklin 300italic,300italic,sans-serif,1.4660449,9.661866,0
Libre Franklin regular,regular,sans-serif,-2.9556344,10.203557,0
Libre Franklin italic,italic,sans-serif,1.9901515,9.212828,0
Libre Franklin 500,500,sans-serif,-3.4109735,9.483404,0
Libre Franklin 500italic,500italic,sans-serif,2.5068557,8.862323,2
Libre Franklin 600,600,sans-serif,-4.7088957,8.047785,1
Libre Franklin 600italic,600italic,sans-serif,3.1004865,8.615253,2
Libre Franklin 700,700,sans-serif,-4.749316,7.708027,1
Libre Franklin 700italic,700italic,sans-serif,3.2892861,8.562451,2
